replication,seed,population,strategy,peak_load_ratio,overcrowded_poi_time_pct,top_10_visit_share,visit_gini,district_entropy,catalog_coverage,tourist_satisfaction,recommendation_acceptance,mean_distance_km,budget_compliance,precision_at_5,recall_at_5,diversity,novelty,exposure_fairness,mean_sustainability,mean_local_economic,completed_visit_share
3,1003,5000,personalized,0.7854545454545454,0.0,0.13755,0.3607433333333334,0.9750932179760977,0.9666666666666667,0.7867784694844456,0.29295,2.587580572970123,1.0,0.70125,0.5670359772157237,0.33524999999999994,0.5398345999999999,0.6392566666666666,0.8069135000000001,0.7197695000000001,1.0
3,1003,5000,sustainability,0.6945454545454546,0.0,0.0769,0.40922499999999995,0.9999995874091665,0.9666666666666667,0.7168111667037507,0.3078,2.416869464861566,1.0,0.42202000000000006,0.321688026376788,0.8806700000000001,0.5673733999999999,0.590775,0.8205975000000001,0.7457950000000001,1.0
4,1004,5000,popularity,1.4117647058823528,1.6666666666666667,0.7751,0.8551716666666667,0.7198301431534607,0.36666666666666664,0.530232427240348,0.2847,1.7111313489810567,1.0,0.15328000000000003,0.15274130047734344,0.8928950000000002,0.18016790000000002,0.14482833333333334,0.678007,0.606535,1.0
4,1004,5000,personalized,0.7563636363636363,0.0,0.1369,0.3547166666666668,0.974842174095532,0.9666666666666667,0.7867408976184559,0.2941,2.588170087160919,1.0,0.7023199999999999,0.5761319314268463,0.33910999999999997,0.5404094,0.6452833333333332,0.8047765,0.7199019999999999,1.0
4,1004,5000,sustainability,0.6581818181818182,0.0,0.07615,0.4038466666666667,0.9999990987617485,0.9666666666666667,0.7174591805772115,0.30695,2.4150000105269376,1.0,0.42318,0.3264557913818208,0.8798650000000001,0.5692314,0.5961533333333333,0.8199360000000001,0.7444709999999999,1.0
5,1005,5000,popularity,1.3240641711229946,1.6666666666666667,0.77675,0.85483,0.6712642734036659,0.4,0.5319877407257138,0.28465,1.7209384486478476,1.0,0.15274000000000001,0.149580142961184,0.8923500000000002,0.1798062,0.14517000000000002,0.6776260000000001,0.605785,1.0
5,1005,5000,personalized,0.6836363636363636,0.0,0.13715,0.35504666666666673,0.9741609490245698,0.9666666666666667,0.7895413177091596,0.2928,2.596842913954408,1.0,0.7148,0.5794186118454558,0.32803000000000004,0.5396103000000001,0.6449533333333333,0.8052474999999999,0.7210255,1.0
5,1005,5000,sustainability,0.6763636363636364,0.0,0.076,0.4054766666666667,0.999999913135663,0.9666666666666667,0.7194381893460351,0.3074,2.4195193712133682,1.0,0.42565,0.3233053260205137,0.8794800000000002,0.5692843999999999,0.5945233333333333,0.8195185000000001,0.745913,1.0
6,1006,5000,popularity,1.360427807486631,1.6666666666666667,0.77905,0.8563000000000001,0.7165508658162449,0.4,0.5288963108721131,0.28505,1.7116474539065136,1.0,0.14919000000000002,0.14605775200805388,0.8919600000000001,0.18004969999999998,0.14369999999999994,0.6781645000000001,0.6054970000000001,1.0
6,1006,5000,personalized,0.6472727272727272,0.0,0.13525,0.3576533333333334,0.9753016886171206,0.9666666666666667,0.7846333267462634,0.29615,2.5659124859021136,1.0,0.69189,0.5658454454175856,0.33603999999999995,0.5418772000000001,0.6423466666666666,0.8059995000000001,0.723951,1.0
