strategy,slot,poi_id,poi_name,district,lat,lon,nominal_capacity,capacity,occupancy,load_ratio
personalized,2,P033,Placa del Sol,Gracia,41.4013,2.157,650,357.50000000000006,101,0.2825174825174825
personalized,2,P034,Abaceria Market,Gracia,41.4036,2.1587,450,247.50000000000003,94,0.37979797979797975
personalized,2,P035,Park de la Creueta del Coll,Gracia,41.4187,2.147,800,440.00000000000006,18,0.0409090909090909
personalized,2,P036,Refugi Antiaeri Placa del Diamant,Gracia,41.4046,2.1566,220,121.00000000000001,48,0.396694214876033
personalized,2,P037,Hospital de Sant Pau,Horta-Guinardo,41.4117,2.1744,600,330.0,31,0.09393939393939393
personalized,2,P038,Labyrinth Park of Horta,Horta-Guinardo,41.4397,2.147,700,385.00000000000006,3,0.007792207792207791
personalized,2,P039,Bunkers del Carmel,Horta-Guinardo,41.4193,2.1618,450,247.50000000000003,43,0.17373737373737372
personalized,2,P040,Guinardo Park,Horta-Guinardo,41.4183,2.1748,900,495.00000000000006,12,0.02424242424242424
personalized,2,P041,Horta Market,Horta-Guinardo,41.4298,2.1605,450,247.50000000000003,65,0.2626262626262626
personalized,2,P042,Masia Can Fargas,Horta-Guinardo,41.4256,2.1657,300,165.0,74,0.4484848484848485
personalized,2,P043,Parc Central de Nou Barris,Nou Barris,41.438,2.1719,1100,605.0,90,0.1487603305785124
personalized,2,P044,Castell de Torre Baro,Nou Barris,41.4588,2.1767,300,165.0,45,0.2727272727272727
personalized,2,P045,Nou Barris Technology Park,Nou Barris,41.435,2.1785,350,192.50000000000003,86,0.4467532467532467
personalized,2,P046,Guineueta Market,Nou Barris,41.4392,2.1691,400,220.00000000000003,48,0.21818181818181814
personalized,2,P047,Casa de l'Aigua,Nou Barris,41.4506,2.1858,300,165.0,68,0.4121212121212121
personalized,2,P048,Ateneu Popular 9 Barris,Nou Barris,41.4459,2.175,450,247.50000000000003,12,0.04848484848484848
personalized,2,P049,Fabra i Coats,Sant Andreu,41.4354,2.1894,550,302.5,89,0.29421487603305785
personalized,2,P050,Sant Andreu Market,Sant Andreu,41.4358,2.1898,500,275.0,61,0.22181818181818183
personalized,2,P051,Church of Sant Andreu de Palomar,Sant Andreu,41.4361,2.19,350,192.50000000000003,97,0.5038961038961038
personalized,2,P052,La Pegaso Park,Sant Andreu,41.4264,2.1911,850,467.50000000000006,107,0.22887700534759356
personalized,2,P053,Bon Pastor Museum Houses,Sant Andreu,41.437,2.204,250,137.5,82,0.5963636363636363
personalized,2,P054,Trinitat Vella Community Centre,Sant Andreu,41.4504,2.1925,300,165.0,66,0.4
personalized,2,P055,Ciutadella Park,Sant Marti,41.3881,2.1875,1500,825.0000000000001,120,0.14545454545454545
personalized,2,P056,Design Museum of Barcelona,Sant Marti,41.4024,2.1882,600,330.0,57,0.17272727272727273
personalized,2,P057,Encants Market,Sant Marti,41.4044,2.1877,800,440.00000000000006,90,0.20454545454545453
personalized,2,P058,Poblenou Cemetery,Sant Marti,41.3977,2.2045,450,247.50000000000003,87,0.35151515151515145
personalized,2,P059,Diagonal Mar Park,Sant Marti,41.4116,2.2163,1200,660.0,91,0.13787878787878788
